# Autism Researchers — 349 entries | source: https://profoundasd.com/autism-researchers/
# format: [location] name | organizations (;-separated) | focus areas | summary

[Anchorage] Kimberly R. Olson, PhD | Center for Human Development; University of Alaska Anchorage | psychology | Conducts research on neurodevelopmental disabilities focusing on Alaskan communities.
[Boston] Dara Manoach, PhD | Massachusetts General Hospital; Lurie Center for Autism; Athinoula A. Martinos Center for Biomedical Imaging; Harvard Medical School |  | Professor of Psychology
[Boston] Tal Kenet, PhD | Massachusetts General Hospital (MGH); Martinos Center for Biomedical Imaging; Harvard Medical School |  | Assistant Professor of Neurology
[Boston] Ralf W. Schlosser, PhD | Bouve College of Health Sciences; Northeastern University |  | Professor and Chair
[Boston] Rhiannon Luyster, PhD | School of Communication; Emerson College |  | Associate Professor
[Boston] Ruth B. Grossman, PhD, CCC-SLP | School of Communication; Grossman Lab; Emerson College |  | Professor
[Boston] Dan H. Barouch, MD, PhD | Center for Virology and Vaccine Research; Beth Israel Deaconess Medical Center; Harvard University | public health | Leads a research center that developed novel vaccine platforms, including key contributions to the Johnson & Johnson COVID-19 vaccine.
[Boston] Kizzmekia “Kizzy” S. Corbett, PhD | Harvard T.H. Chan School of Public Health; Harvard Radcliffe Institute; Harvard University | public health | Served as the scientific lead on the NIH team that developed the mRNA-1273 (Moderna) vaccine for COVID-19.
[Boston] Karen Chenausky, PhD, CCC-SLP | Speech & Language (SAiL) Literacy Lab; MGH Institute of Health Professions |  | Assistant Professor
[Cambridge] Jesse Snedeker, Ph.D. | Harvard University | language | Provided insights into how children acquire language by linking cognitive development with language learning
[Canterbury] Julie Beadle-Brown, PhD | Tizard Centre; University of Kent; La Trobe University | psychology | Conducts research on long-term outcomes for adults with profound autism and intellectual disabilities, including contributing to the Camberwell Cohort follow-up.
[Canterbury] Glynis Murphy, PhD | Tizard Centre; University of Kent | psychology | Conducts long-term research on quality of life, mental health, and community living outcomes for adults with profound autism and intellectual disabilities.
[Cape Town] Janine Mathee-Scott, M.A. (Clin.Psych) | The Neurodiversity Centre; University of Cape Town (Collaborator/Affiliate) |  | Clinical Psychologist
[Carmel - Woodfire Seafood & Oyster Bar] Emily Rubin, MS, CCC-SLP | Marcus Autism Center; Communication Crossroads; Emory University School of Medicine (Affiliate) | speech-language pathology | Co-author and developer of the SCERTS® Model (Social Communication, Emotional Regulation, Transactional Support).
[Chapel Hill] Brenna Maddox, PhD | UNC TEACCH Autism Program; Autism and Suicide Prevention Workgroup; University of North Carolina at Chapel Hill (UNC) | psychology & public health | Leads research and implementation science focused on suicide prevention for autistic individuals.
[Chapel Hill] Brian A. Boyd, PhD | Frank Porter Graham Child Development Institute (FPG); International Society for Autism Research (INSAR); University of North Carolina at Chapel Hill (UNC) | education & psychology | Directs the Frank Porter Graham Child Development Institute, a leading center for research on child development.
[Chapel Hill] Brianne Tomaszewski, PhD | UNC TEACCH Autism Program; University of North Carolina at Chapel Hill (UNC) | education & psychology | Leads community-based research to support individuals with intellectual and developmental disabilities (IDD).
[Chapel Hill] Gabriel S. Dichter, PhD | Carolina Institute for Developmental Disabilities (CIDD); University of North Carolina at Chapel Hill |  | Associate Professor of Psychiatry and Psychology
[Chapel Hill] Hannah Morton, PhD | University of North Carolina at Chapel Hill |  | Assistant Professor
[Chapel Hill] Laura Grofer Klinger, PhD | TEACCH Autism Program; University of North Carolina at Chapel Hill |  | Executive Director
[Chapel Hill] Micheal Paige Gmaz Sandbank, PhD | Frank Porter Graham Child Development Institute (FPG); University of North Carolina at Chapel Hill |  | Research Scientist
[Chapel Hill] Rebecca Grzadzinski, PhD | Carolina Institute for Developmental Disabilities (CIDD); University of North Carolina at Chapel Hill |  | Assistant Professor
[Chapel Hill] Samuel L. Odom, PhD | Frank Porter Graham Child Development Institute (FPG); University of North Carolina at Chapel Hill |  | Senior Research Scientist (Retired)
[Chapel Hill] Jessica Girault, Ph.D. | Carolina Institute for Developmental Disabilities; University of North Carolina at Chapel Hill | brain science | Led studies showing that infants who later develop autism have distinct differences in visual processing brain systems observable via MRI before symptoms emerge
[Chapel Hill] Julie Daniels, PhD | University of North Carolina at Chapel Hill | public health | Served as a principal investigator in major autism epidemiology initiatives (ADDM, SEED), providing key data on ASD prevalence and risk factors across populations
[Chapel Hill] Clare Harrop, PhD | University of North Carolina at Chapel Hill | psychology | Leads research on sex and gender differences in autism, illuminating the unique presentation and needs of autistic females and gender-diverse individuals
[Chapel Hill] Linda R. Watson, EdD, CCC-SLP | University of North Carolina at Chapel Hill | language | Developed parent-mediated intervention models that coach caregivers to support prelinguistic and early social communication.
[Chapel Hill] Eric Schopler, PhD | TEACCH Autism Program; University of North Carolina at Chapel Hill | psychology | Founded the TEACCH program, pioneering a structured teaching approach based on the learning styles of autistic individuals.
[Chapel Hill] Mark Shen, PhD | Carolina Institute for Developmental Disabilities; University of North Carolina at Chapel Hill | brain science | Discovered early amygdala overgrowth between 6 and 12 months of age as a key biomarker in infants who are later diagnosed with autism.
[Chapel Hill] Gary B. Mesibov, PhD | Division TEACCH; University of North Carolina at Chapel Hill | psychology | Directed the Division TEACCH program, establishing a pioneering community-based model of services for autistic individuals.
[Chapel Hill] Khalilah R. Johnson, PhD, MS, OTR/L | UNC School of Medicine; Department of Allied Health Sciences; University of North Carolina at Chapel Hill |  | Assistant Professor
[Charlottesville] Micah Mazurek, PhD | UVA School of Education and Human Development; STAR Initiative; University of Virginia |  | Professor and Director of the Supporting Transformative Autism Research (STAR) initiative
[Charlottesville] Rachel A. Muscatello, PhD | UVA School of Education and Human Development; STAR Initiative; University of Virginia |  | Research Assistant Professor
[Charlottesville] Rose A. Nevill, PhD | UVA School of Education and Human Development; University of Virginia |  | Assistant Professor
[Charlottesville] Kevin A. Pelphrey, PhD | UVA Brain Institute; University of Virginia; George Washington University; Yale University | brain science | Investigated the neural underpinnings of social cognition in autism using brain imaging.
[Chicago] Allison Wainer, PhD | Autism Assessment; Research; Treatment and Services (AARTS) Center; Rush University Medical Center | psychology | Develops and evaluates behavioral interventions and service delivery models for individuals with autism.
[Chicago] Aaron J. Kaat, PhD | Institute for Innovations in Developmental Sciences (DevSci); Northwestern University; The Ohio State University |  | Expert in psychometrics for autism and intellectual disability, leading development and validation of assessment tools for special populations .
[Chicago] Latha V. Soorya, PhD, BCBA | Autism Assessment; Research; & Treatment Services (AARTS) Center; Rush University Medical Center |  | Associate Professor
[Chicago] Bruno Bettelheim, PhD | Orthogenic School; University of Chicago | psychology | Authored 'The Empty Fortress' (1967), which popularized the now-discredited 'refrigerator mother' theory, blaming autism on parental coldness.
[Chicago] Devon Price, PhD | Loyola University Chicago | psychology | Authored 'Unmasking Autism,' providing an influential framework for understanding and navigating autistic identity and masking.
[Cincinnati] Amie Duncan, PhD | Division of Behavioral Medicine and Clinical Psychology; Cincinnati Children’s Hospital Medical Center; University of Cincinnati College of Medicine | psychology | Develops and evaluates interventions to support adolescents with autism transitioning to adulthood.
[Cincinnati] Lauren M. Schmitt, PhD | Cincinnati Children's Hospital Medical Center; University of Cincinnati |  | Associate Professor
[Cincinnati] Tanya E. Froehlich, MD, MS | Cincinnati Children's Hospital Medical Center; Division of Developmental and Behavioral Pediatrics; University of Cincinnati College of Medicine |  | Professor
[Cincinnati] Rebecca C. Shaffer, PsyD | Cincinnati Children's Hospital Medical Center; Division of Behavioral Medicine and Clinical Psychology; University of Cincinnati College of Medicine |  | Associate Professor
[Cincinnati] Ryan E. Adams, PhD | Cincinnati Children's Hospital Medical Center; Division of Behavioral Medicine and Clinical Psychology; University of Cincinnati College of Medicine |  | Associate Professor
[Cincinnati] Kelli C. Dominick, MD, PhD | Cincinnati Children's Hospital Medical Center; Division of Child and Adolescent Psychiatry; University of Cincinnati College of Medicine |  | Associate Professor
[Cincinnati] Stephanie Weber, PsyD | Cincinnati Children's Hospital Medical Center; Leadership Education in Neurodevelopmental and related Disabilities (LEND) Program; University of Cincinnati (UC) | psychology | Specializes in working with children with developmental disabilities, including autism, Down syndrome, and intellectual disabilities.
[College Park] Desiree R. Jones, PhD | SHINE (Stigma; Human Interaction; and Neurodivergent Experiences) Lab; University of Maryland; College Park |  | Assistant Professor of Psychology
[Colorado] Laura Hedrick |  |  | 
[Columbia] Abby Hogan | Communication in Autism and Neurodevelopmental Disorders (CANDi) Lab; University of South Carolina; Northwestern University |  | Characterizing the developmental emergence and trajectories of anxiety in young autistic children and how anxiety impacts communication abilities .
[Columbia] Chandler Knott, MA | Neurodevelopmental Disorders Lab; University of South Carolina (UofSC) | psychology | Research focuses on early detection and intervention for ASD in high-risk populations, including Fragile X Syndrome (FXS) and Down Syndrome (DS).
[Columbia] David Beversdorf, MD | Thompson Center for Autism and Neurodevelopmental Disorders; University of Missouri |  | Professor of Radiology
[Columbia] Jessica Bradshaw, PhD | Early Social Development Lab; University of South Carolina |  | Assistant Professor of Psychology
[Columbia] Nancy Cheak-Zamora, PhD, MA | MU School of Health Professions; Thompson Center for Autism & Neurodevelopmental Disorders; University of Missouri |  | Professor
[Columbia] Rachel Hantman, MEd, MA | Department of Psychology; Early Social Development Lab; University of South Carolina |  | PhD Student
[Columbia] Sarah Redmonds | Department of Psychology; University of South Carolina |  | Graduate Student
[Columbia] Joanna Mussey, PhD, BCBA-D | Thompson Center for Autism & Neurodevelopmental Disorders; University of Missouri | psychology | Specializes in diagnosing and treating individuals with ASD in complex situations such as the foster care system, to improve identification in underserved populations
[Columbia] Connie Brooks, PhD | Thompson Center for Autism & Neurodevelopmental Disorders; University of Missouri | public health | Oversees an interdisciplinary autism center, expanding access to diagnostic and intervention services for children across Missouri
[Columbus] Brittany N. Hand, PhD, OTR/L | School of Health and Rehabilitation Sciences; The Hand Research Team; Center for Autism Services and Transition (CAST); The Ohio State University (OSU) | occupational therapy & public health | Conducts health services research to optimize healthcare access, utilization, and outcomes for autistic adults.
[Columbus] Daniel L. Coury, MD | Nationwide Children’s Hospital; Autism Treatment Network; Ohio State University | medicine | Medical Director of the Autism Speaks Autism Treatment Network, he led efforts to standardize and disseminate best practices in medical care for children with ASD
[Columbus] Helen Malone, PhD | College of Education and Human Ecology; The Ohio State University | special education | Research focuses on teaching individuals with severe/profound intellectual and developmental disabilities, including autism.
[Crete] Debbie R. Miller, PhD | Doane University |  | Adjunct Faculty of Research Methodology
[Dallas] Meghan Swanson, PhD | Infant Neurodevelopment & Language Research Lab; University of Texas at Dallas |  | Assistant Professor
[Dallas] Laura M. Case, PhD | Center for Autism and Developmental Disabilities (CADD); University of Texas Southwestern Medical Center | psychology | Investigates the neurobiological basis of sensory processing, interoception, and body awareness in autism.
[Davis] Irva Hertz-Picciotto, PhD, MPH | MIND Institute; University of California; Davis | public health | Leads the CHARGE and MARBLES studies, two major prospective cohorts investigating early risk factors for autism.
[Dokk1] Diana Schendel, PhD | A.J. Drexel Autism Institute; Aarhus University; Drexel University |  | Professor of Psychiatric Epidemiology (Aarhus)
[Dokk1] Ethan Weed, PhD | Center of Functionally Integrative Neuroscience (CFIN); Aarhus University |  | Associate Professor
[Durham] Elena Tennenbaum, PhD | Duke Center for Autism and Brain Development; Duke Institute for Brain Sciences; Duke University School of Medicine |  | Assistant Professor in Psychiatry and Behavioral Sciences
[Durham] Geraldine Dawson, PhD | Duke Center for Autism and Brain Development; Duke University | brain science | Led seminal clinical trials demonstrating the efficacy of early behavioral interventions, such as the Early Start Denver Model, for toddlers with autism.
[Durham] Kimberly L. H. Carpenter, PhD | Duke Center for Autism and Brain Development; Duke University School of Medicine |  | Associate Professor in Psychiatry and Behavioral Sciences
[East Lansing] Melissa Maye, PhD | MSU REACH Lab; Michigan State University |  | Assistant Professor
[East Lansing] Courtney Venker, PhD, CCC-SLP | Lingo Lab; MSU; Michigan State University | language | Awarded NIH funding for research on autism and language development, using eye-tracking to study how autistic children process language in real time
[Edmonton] Lonnie Zwaigenbaum, MD | Autism Research Centre; Glenrose Rehabilitation Hospital; University of Alberta |  | Professor
[Evanston] Molly Losh, PhD | School of Communication; Roxelyn and Richard Pepper Department of Communication Sciences and Disorders; Neurodevelopmental Disabilities Laboratory; Northwestern University |  | Jo Ann G. and Peter F. Dolle Professor of Learning Disabilities
[Fairfield] Rhea Paul, PhD, CCC-SLP | Sacred Heart University; Yale School of Medicine | language | Authored foundational textbooks that define evidence-based assessment and intervention for child language disorders.
[Fayetteville] Melissa N. Savage, PhD, BCBA-D | College of Education and Health Professions; University of Arkansas |  | Associate Professor
[Gainesville] Mark H. Lewis, PhD | University of Florida Center for Autism and Related Disabilities (CARD); University of Florida | autism & neurodevelopment | Leading researcher on the phenomenology, etiology, and treatment of repetitive behaviors in individuals with intellectual disabilities and autism.
[Garden City] Hilary Gomes, PhD, ABPdN | Da Vinci Collaborative; Private Practice; Albert Einstein College of Medicine (Postdoc); City University of New York (CUNY) (Former Assoc. Professor) |  | Pediatric Neuropsychologist (Private Practice)
[Garden City] Stephen Mark Shore, Ed.D. | Adelphi University |  | Clinical Assistant Professor
[Glassboro] Maya Shanker, MA | Rowan University |  | PhD Candidate
[Glassboro] Katherine Gotham, PhD | College of Science & Mathematics; Rowan University |  | Associate Professor
[Hamilton] Stelios Georgiades, PhD | Offord Centre for Child Studies; McMaster Autism Research Team (MacART); McMaster University |  | Associate Professor
[Hamilton] Stephen J. Gentles, PhD | McMaster University |  | Assistant Professor
[Harrisonburg] Emily Zane, PhD | ReAL Lab (Research in Autism and Language); James Madison University |  | Assistant Professor
[Honolulu] Cassandra A. W. Boehm, PhD | Center on Disability Studies; University of Hawaiʻi at Mānoa | psychology | Conducts research on the early identification and intervention for infants and toddlers with autism.
[Honolulu] Leilani Teruya, PhD, CCC-SLP | University of Hawaiʻi at Mānoa | language | Specializes in the assessment of language development and disorders in children.
[Honolulu] Pamela S. Tam, MD | Kapiʻolani Medical Center for Women & Children; John A. Burns School of Medicine; University of Hawaiʻi at Mānoa | medicine | Provides specialized clinical diagnosis and care as a developmental-behavioral pediatrician.
[Houston] Morénike Giwa Onaiwu | Rice University Humanities Research Center; Advocacy Without Borders; A.J. Drexel Autism Institute; Rice University; Drexel University (Affiliate) |  | Research Fellow
[Houston] Peter J. Hotez, MD, PhD | National School of Tropical Medicine; Baylor College of Medicine | public health | Led the development of low-cost, accessible vaccines for neglected tropical diseases and COVID-19 to promote global health equity.
[Houston] Emily H. Jellinek, PhD | Texas Children's Hospital; Meyer Center for Developmental Pediatrics and Autism; Baylor College of Medicine (Affiliation); University of Houston (Alumni) | psychology | Research focuses on parent-led cognitive behavioral teletherapy for anxiety in autistic youth.
[Huntington] Ruth C. Sullivan | Autism Society of America; West Virginia Autism Training Center (WV ATC); Marshall University | public policy | Co-founded the Autism Society of America in 1965, establishing one of the first national advocacy organizations for autism.
[Huntington] Terri L. Zane, PhD, BCBA-D | West Virginia Autism Training Center (WV ATC); Marshall University | psychology | Directed the West Virginia Autism Training Center, overseeing statewide training, consultation, and technical assistance.
[Illinois] Isabel Rodriguez |  |  | 
[Iowa City] Ted Abel, PhD | Iowa Neuroscience Institute; Roy J. and Lucille A. Carver College of Medicine; University of Iowa |  | Professor and Chair
[Iowa City] Jacob Michaelson, PhD | Iowa Neuroscience Institute; Carver College of Medicine; University of Iowa |  | Roy J. Carver Professor of Psychiatry and Neuroscience
[Kent] Lisa R. Audet, PhD, CCC-SLP | Kent State University |  | Professor
[Kimitsu] Naoki Higashida |  | media | Authored the groundbreaking memoir 'The Reason I Jump,' offering a rare first-person perspective into the world of a non-verbal autistic individual.
[La Jolla] Leslie Carver, PhD | Carver Lab (Developmental Cognitive Neuroscience); University of California; San Diego (UCSD) |  | Professor
[La Jolla] Natacha Akshoomoff, PhD | UCSD Department of Psychiatry; Rady Children's Hospital San Diego; University of California; San Diego (UCSD) |  | Professor of Psychiatry
[Lausanne] Kamila Markram, PhD | Brain Mind Institute; Frontiers; Swiss Federal Institute of Technology Lausanne (EPFL) | brain science | Co-developed the 'Intense World Theory,' proposing that autism results from a hyper-functional brain characterized by hyper-reactivity and hyper-plasticity.
[Lausanne] Henry Markram, PhD | Blue Brain Project; Swiss Federal Institute of Technology Lausanne (EPFL) | brain science | Co-developed the 'Intense World Theory,' proposing that the autistic brain is characterized by hyper-functional neural microcircuits.
[Lawrence] Carissa J. Cascio, PhD | KU Life Span Institute; Kansas Center for Autism Research and Training (K-CART); Laboratory for Affective Sensory Research (LASR); University of Kansas | neuroscience & sensory | Researches the neural basis of sensory processing differences in autism, particularly touch, pain, and interoception.
[Lawrence] Matthew W. Mosconi, PhD | Kansas Center for Autism Research and Training (K-CART); Schiefelbusch Institute for Life Span Studies; University of Kansas |  | Professor
[Lexington] Ann Neumeyer, MD | Lurie Center for Autism; Massachusetts General Hospital; Harvard Medical School | neurology | Leads clinical services and initiatives for individuals with autism across the lifespan at the Lurie Center.
[Lexington] Peter T. Nelson, MD, PhD | Sanders-Brown Center on Aging; University of Kentucky | medicine | Led the international effort to define and characterize LATE (Limbic-predominant age-related TDP-43 encephalopathy), a common cause of dementia.
[Little Rock] S. Jill James, PhD | Arkansas Children's Hospital Research Institute; University of Arkansas for Medical Sciences | biology | Identified unique metabolic biomarkers related to oxidative stress and methylation capacity in children with autism.
[Little Rock] Jayne Bellando, PhD | Arkansas Children's Hospital; James L. Dennis Developmental Center; University of Arkansas for Medical Sciences | psychology | Specializes in the comprehensive diagnostic assessment of autism and co-occurring conditions like obesity.
[Logan] Katherine Pickard, PhD | Emma Eccles Jones College of Education and Human Services; Utah State University |  | Assistant Professor
[London] Adam Feinstein | Autism Cymru; Looking Up (Autism magazine) |  | Authored *A History of Autism: Conversations with the Pioneers* (2010), regarded as a definitive historical account of autism .
[London] Courtenay F. Norbury, PhD, CPsychol | University College London | language | Led large-scale epidemiological studies to define the cognitive and pragmatic profiles that differentiate Developmental Language Disorder (DLD) from Autism.
[London] Francesca Happé, PhD | MRC Social; Genetic and Developmental Psychiatry Centre; King's College London | psychology | Advanced the 'Theory of Mind' hypothesis of autism and developed the 'Weak Central Coherence' theory to account for cognitive strengths and styles.
[London] Lorna Wing, MD | MRC Social Psychiatry Unit; National Autistic Society (NAS); King's College London | psychology | Introduced the concept of the 'autism spectrum' and the 'triad of impairments,' fundamentally shaping modern diagnostic classification.
[London] Patricia Howlin, PhD | Institute of Psychiatry; Psychology and Neuroscience; King's College London; University of Sydney | psychology | Pioneered longitudinal research on the long-term outcomes of autistic adults, including those with severe disabilities.
[Los Altos] Alexander MacInnis | Autism Society of San Francisco Bay Area; Bay Area Autism Consortium; Stanford University |  | Analyzes autism prevalence and public health trends, advocating that the rise in autism rates be recognized and addressed with an epidemiological approach .
[Los Angeles] Amanda Gulsrud, PhD | UCLA Semel Institute for Neuroscience & Human Behavior; UCLA Center for Autism Research and Treatment (CART); University of California; Los Angeles (UCLA) | psychology | Specializes in the early identification and treatment of infants and toddlers with autism.
[Los Angeles] Abby Dickinson | UCLA Center for Autism Research and Treatment; University of Sheffield; University of California; Los Angeles |  | Investigated visual perception differences in autism during PhD work, shedding light on how autistic individuals process sensory information .
[Los Angeles] Charlotte DiStefano, PhD | Children's Hospital Los Angeles (CHLA); The KiNDD Laboratory; University of Southern California (USC) Keck School of Medicine | psychology & neurology | Researches language and cognitive development in children with neurodevelopmental disorders, especially minimally verbal children.
[Los Angeles] Leanna Hernandez, PhD | UCLA Neuroscience; University of California; Los Angeles (UCLA) |  | Researcher
[Los Angeles] Lucina Uddin, PhD | UCLA Semel Institute for Neuroscience and Human Behavior; UCLA Brain Research Institute; University of California; Los Angeles (UCLA) |  | Professor
[Los Angeles] Mirella Dapretto, PhD | UCLA Semel Institute for Neuroscience and Human Behavior; Ahmanson-Lovelace Brain Mapping Center; University of California; Los Angeles (UCLA) |  | Professor
[Los Angeles] Shulamite Green, PhD | UCLA Semel Institute for Neuroscience and Human Behavior; UCLA Ahmanson-Lovelace Brain Mapping Center; University of California; Los Angeles (UCLA) |  | Assistant Professor
[Los Angeles] Zachary J. Williams, MD, PhD | UCLA Semel Institute for Neuroscience and Human Behavior; UCLA CART (Center for Autism Research and Treatment); University of California; Los Angeles (UCLA) |  | Assistant Professor in Residence
[Los Angeles] Nicole McDonald, PhD | UCLA Department of Psychology; UCLA Center for Autism Research and Treatment (CART); University of California; Los Angeles (UCLA) |  | Associate Professor
[Los Angeles] Rujuta B. Wilson, MD, MS | UCLA David Geffen School of Medicine; UCLA Mattel Children's Hospital; University of California; Los Angeles (UCLA) |  | Assistant Clinical Professor
[Los Angeles] Daniel Geschwind, MD, PhD | UCLA Center for Autism Research and Treatment; Broad Stem Cell Research Center; University of California; Los Angeles | genetics | Pioneered the use of large-scale genomics and systems biology to identify genes and molecular networks associated with autism.
[Los Angeles] Doreen Granpeesheh, PhD, BCBA-D | Center for Autism and Related Disorders (CARD); Autism Care and Treatment Today! (ACT Today!) | psychology | Founded the Center for Autism and Related Disorders (CARD), one of the world's largest organizations for Applied Behavior Analysis (ABA) therapy.
[Los Angeles] Kim Tena, MA | UCLA Semel Institute for Neuroscience and Human Behavior; UCLA Center for Autism Research and Treatment (CART); University of California; Los Angeles (UCLA) |  | Clinical Research Coordinator
[Los Angeles] Kristina R. Feldman, PhD, BCBA-D | Children's Hospital Los Angeles (CHLA); Boone Fetter Clinic; University of Southern California (Keck School of Medicine) |  | Assistant Professor of Clinical Pediatrics
[Los Angeles] Catherine Lord, PhD | Semel Institute for Neuroscience and Human Behavior; Center for Autism Research and Treatment (CART); Lord Lab; University of California; Los Angeles (UCLA); Columbia University | psychology & diagnosis | Co-developed the Autism Diagnostic Observation Schedule (ADOS), the global gold-standard for observational assessment of autism.
[Madison] Brittany G. Travers, PhD | Waisman Center; Department of Kinesiology; Travers Motor Lab; University of Wisconsin–Madison | neuroscience & kinesiology | Combines neuroimaging (MRI) with quantitative measures of motor function, cognition, and daily living skills in autistic individuals.
[Madison] Lauren Bishop, PhD, MSW | Waisman Center; Sandra Rosenbaum School of Social Work; University of Wisconsin–Madison |  | Associate Professor
[Madison] Marsha R. Mailick, PhD | Waisman Center; University of Wisconsin–Madison |  | Emerita Vice Chancellor for Research and Graduate Education
[Massachusetts] Susan Senator | Autism Alliance | media | Authored 'Autism Adulthood,' a key resource addressing the challenges and strategies for adults on the severe end of the autism spectrum.
[Melbourne] Darren Hedley, PhD | Olga Tennison Autism Research Centre (OTARC); La Trobe University |  | Principal Research Fellow & Associate Professor
